Northing,Easting,Surf Elevation,Thickness,A.B.Elevation,Thickness,B.C.Elevation,Thickness,C.D.Elevation,Thickness
669749,265343,5009,7,4983,9,4921,0,4790,9
669352,266118,5010,12,4989,4,4924,0,4789,32
669286,265161,5010,18,4988,3,4917,26,4790,20
668896,266495,5011,2,4995,8,4915,3,4790,22
669808,266055,5011,11,5000,0,4918,17,4791,20
668734,268426,5011,4,5007,0,4913,4,4783,6
670623,266933,5017,4,4977,8,4919,6,4789,22
669782,268099,5007,2,4989,5,4914,7,4784,30
669788,266151,5011,4,4999,0,4919,0,4786,23
670650,266935,5018,2,4976,5,4920,7,4790,20
669365,265931,5010,12,4998,0,4915,28,4790,30
668807,269783,5010,5,5005,0,4897,28,4785,5
668243,267807,5008,13,4995,0,4909,4,4780,29
669240,267059,5008,18,4990,0,4907,4,4781,5
669233,267132,5009,22,4987,0,4908,7,4781,14
669114,267021,5011,16,4995,0,4910,9,4780,7
669228,267112,5009,20,4989,0,4903,4,4781,10
669234,267197,5009,29,4980,0,4902,6,4779,8
670635,266881,5016,3,4975,5,4920,0,4787,15
667356,265453,5020,5,5015,0,4917,11,4789,33
669957,263286,5029,10,4985,0,4932,14,4798,14
668552,269602,5010,5,5005,0,4906,22,4763,5
669100,268150,5006,9,4997,0,4910,15,4777,19
669408,266121,5008,19,4989,0,4922,5,4790,28
669566,265067,5010,13,4997,0,4914,12,4792,11
669566,265179,5010,11,4999,0,4916,13,4793,9
669150,266050,5008,12,4996,0,4915,18,4788,26
668770,267038,5008,23,4985,0,4912,16,4786,12
669750,265700,5009,13,4978,4,4912,27,4790,10
669754,265337,5009,14,4977,5,4911,28,4791,11
650807,285611,5033,7,5026,0,4844,82,4715,0
668800,265711,5012,14,4998,0,4915,5,4789,28
668007,267802,5013,14,4999,0,4910,11,4791,28
667780,267541,5031,3,5028,0,4919,5,4783,19
665237,264542,5042,12,5030,0,4911,40,4790,14
669683,267180,5012,15,4984,3,4914,5,4789,12
669739,265331,5009,9,4981,9,4916,2,4791,11
668966,264930,5011,2,4980,4,4917,18,4793,20
669659,269011,5005,7,4998,0,4909,6,4786,17
669689,267177,5010,14,4977,0,4913,5,4789,17
665238,264743,5042,3,5039,0,4912,10,4788,20
669941,263210,5036,5,4992,11,4931,16,4805,21
671675,269780,5029,2,4993,2,4909,5,4799,10
671707,269792,5029,4,4993,0,4911,4,4799,12
685752,282883,4967,9,4958,20,4849,0,4821,0
687065,277159,4981,21,4960,14,4835,0,4816,0
674268,276993,5024,11,5013,0,4900,24,4788,5
662517,268728,5065,3,5062,0,4892,66,4782,35
665336,264794,5042,5,5037,0,4915,30,4787,14
664910,264932,5044,7,5037,0,4910,42,4784,4
669083,259758,5045,2,4995,0,4931,17,4821,8
668992,264962,5011,7,4980,5,4917,20,4790,20
670165,268700,5016,5,4989,3,4910,15,4792,3
667255,265510,5023,8,5015,0,4914,29,4787,28
666379,270722,5066,7,5059,0,4900,10,4746,18
671588,270921,5005,9,4996,0,4908,6,4782,0
668227,266882,5022,6,5016,0,4910,24,4789,27
669009,264964,5011,8,4980,6,4917,22,4792,23
670163,268676,5015,6,4987,4,4909,14,4792,10
667253,265486,5022,8,5000,15,4916,31,4787,23
671608,270919,5004,14,4990,0,4887,11,4784,7
668241,266869,5021,6,5015,0,4908,24,4781,18
668845,268259,5006,7,4999,0,4910,9,4767,3
669690,267564,5009,17,4982,4,4910,4,4787,2
668980,267320,5012,10,5002,0,4908,13,4781,4
669688,266352,5017,10,4986,7,4926,4,4793,2
669370,266113,5009,15,4987,7,4925,10,4786,5
669190,265723,5012,21,4991,0,4914,37,4786,1
669845,265754,5014,20,4994,0,4913,20,4786,1
669572,265022,5013,10,4993,9,4916,14,4789,5
675132,274247,4994,10,4984,0,4903,5,4787,23
677145,280877,4975,8,4967,0,4911,2,4783,12
672953,276945,5027,16,5011,0,4894,12,4781,0
674610,266413,5032,7,5025,0,4904,0,4824,0
668207,271193,5019,18,5001,0,4889,27,4789,15
670185,271201,5004,18,4986,0,4886,10,4807,12
669364,267183,5012,23,4989,0,4911,10,4784,22
669140,264952,5011,8,4979,1,4917,18,4790,15
668242,267356,5014,5,5009,0,4907,18,4771,7
670011,266496,5010,8,4975,9,4919,12,4789,15
669607,264543,5014,11,4970,7,4909,18,4789,19
669423,263931,5021,2,4976,6,4916,23,4789,26
668606,264939,5013,10,4982,6,4905,14,4789,26
667762,264503,5033,4,5006,6,4915,34,4788,4
668715,268351,5010,8,5002,0,4910,0,4777,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
